не ж
на =
что О
его -
проговорил Ах
чтобы К
как С
он У
сказал Та
когда Я,
только О,
она В
было И,
Кейтилин Юг
но А
отвечал и…
за у
ее И
поглядел я,
все «Я
Он Я
это Уж
из о
они ел
никогда ум
возле 14
Джон Со
был я.
сказала Ум
словно Им
Бран Р.
от –
ты а
еще ну
Она Из
если Да
Санса До
уже та
проговорила ту
были От
теперь Ее
Тирион ж,
чем Ни
слишком Вы
всегда По
несколько МТС
ему те
своего Во
была Ей
мне юг
Королевской ООО
Роберт да
так За
даже ко
спросил Наш
под Их
этого уж
потом лиг
перед тек
ничего лба
Ланнистер изо
Нед Ну
мейстер пыл
Дени Не
поглядела пол
ответил Та,
лишь им
вместе та,
для Мы
может шаг
будет вид
тебе и,
Джоффри Той
него Пип
Кейтилин. – да.
Старк ли.
заметил лбу
должен лоб
Арья вод
глаза рек
направился сне
меня Вся
более шее
себя Зуб
короля ела
которые Где
спросила бей
повернулся Шум
над об
наконец еду
король ей.
Когда Щит
своей тон
здесь Хал
Иллирио Сын
сир то
мгновение лай
через вою
отправился воя
или На
Джон. – Вой
он. – Вы,
Джона То,
вновь рта
Король Кем
которого им:
между дуб
Если сто
этом дар
Джейме лук
его, яиц
поднял чьи
где ли
раз Ты
действительно ту,
после шеи
брата ям.
Бенджен бил
который жир
пока Мед
Родрик шею
Дрого мы?
Нед. – Дух
больше Паж
всего вое
почти им?
голову вел
лорд ими
сегодня псы
сомнения, сук
Дейенерис жди
сделался игр
Кейтилин, уж,
прежде бой
руку ухо
просто ума
этот дай
едва Да.
может, ей;
есть учу
вокруг иди
пробормотал ешь
казался чаш
свой Лев
можно Эхо
что-то Сан
подумала уст
пришлось Две
негромко Рид
попытался дух
своих пот
посмотрел раб
быть, ход
Робб Век
лицо ей:
волосы ее:
время ели
того, Уже
среди Имя
лучше Рок
достаточно Три
Джоффри, дед
придется Эту
том, дам
человек шар
казалось, ком
которую лик
Лювин дул
столь худ
Ланнистеры люд
видела Шел
согласился вес
казались лед
Эддард боя
один дав
поднялся рту
свою Ищи
Теперь сил
тебя лес
видел (за
Мордейн Дай
Роберта Нож
насколько нес
брат пел
быть Пес
свои вся
тогда им.
своим При
сейчас да,
одного Мир
Иллирио, лез
говорил жен
Визерис лев
Нед, Рот
Мейстер Бет
которых юг.
его. Оно
Неужели Моя
могла Иди
собственной вой
немедленно Он,
Винтерфелла рад
своими вон
руки усы
видеть Да,
которой жил
голосом «Не
